UF,Nome Parlamentar,Posição,Partido,Email,Telefone,Evidência
PA,Joaquim Passarinho,Contra o impeachment,PSD,dep.joaquimpassarinho@camara.leg.br,3215-5334,https://www.oantagonista.com/brasil/passarinho-quem-precisa-justificar-e-quem-enxerga-crime-de-responsabilidade/
PA,Vavá Martins,Contra o impeachment,REPUBLICANOS,dep.vavamartins@camara.leg.br,3215-5901,https://twitter.com/vavamartinspa/status/1264014349397626886
PA,Cássio Andrade,Não se pronunciou,PSB,dep.cassioandrade@camara.leg.br,3215-5433,null
PA,Celso Sabino,Não se pronunciou,PSDB,dep.celsosabino@camara.leg.br,3215-5236,null
PA,Cristiano Vale,Não se pronunciou,PL,dep.cristianovale@camara.leg.br,3215-5822,null
PA,Delegado Éder Mauro,Não se pronunciou,PSD,dep.delegadoedermauro@camara.leg.br,3215-5586,null
PA,Eduardo Costa,Não se pronunciou,PTB,dep.eduardocosta@camara.leg.br,3215-5286,null
PA,Elcione Barbalho,Não se pronunciou,MDB,dep.elcionebarbalho@camara.leg.br,3215-5206,null
PA,Hélio Leite,Não se pronunciou,DEM,dep.helioleite@camara.leg.br,3215-5930,null
PA,José Priante,Não se pronunciou,MDB,dep.josepriante@camara.leg.br,3215-5752,null
PA,Júnior Ferrari,Não se pronunciou,PSD,dep.juniorferrari@camara.leg.br,3215-5919,null
PA,Nilson Pinto,Não se pronunciou,PSDB,dep.nilsonpinto@camara.leg.br,3215-5527,null
PA,Olival Marques,Não se pronunciou,DEM,dep.olivalmarques@camara.leg.br,3215-5382,null
PA,Paulo Bengtson,Não se pronunciou,PTB,dep.paulobengtson@camara.leg.br,3215-5505,null
PB,Damião Feliciano,A favor do impeachment,PDT,dep.damiaofeliciano@camara.leg.br,3215-5938,https://www.facebook.com/watch/live/?v=240964496977553&ref=watch_permalink
PB,Frei Anastacio Ribeiro,A favor do impeachment,PT,dep.freianastacioribeiro@camara.leg.br,3215-5442,https://twitter.com/freianastaciopt/status/1242793866014658563
PB,Gervásio Maia,A favor do impeachment,PSB,dep.gervasiomaia@camara.leg.br,3215-5308,https://twitter.com/gervasiomaia/status/1255628576533159936
PB,Julian Lemos,Contra o impeachment,PSL,dep.julianlemos@camara.leg.br,3215-5272,https://twitter.com/JulianLemosopb1/status/1351169296311988224
PB,Aguinaldo Ribeiro,Não se pronunciou,PP,dep.aguinaldoribeiro@camara.leg.br,3215-5735,null
PB,Edna Henrique,Não se pronunciou,PSDB,dep.ednahenrique@camara.leg.br,3215-5962,null
PB,Efraim Filho,Não se pronunciou,DEM,dep.efraimfilho@camara.leg.br,3215-5744,null
PB,Hugo Motta,Não se pronunciou,REPUBLICANOS,dep.hugomotta@camara.leg.br,3215-5237,null
PB,Pedro Cunha Lima,Não se pronunciou,PSDB,dep.pedrocunhalima@camara.leg.br,3215-5810,null
PB,Ruy Carneiro,Não se pronunciou,PSDB,dep.ruycarneiro@camara.leg.br,3215-5536,null
PB,Wellington Roberto,Não se pronunciou,PL,dep.wellingtonroberto@camara.leg.br,3215-5514,null
PB,Wilson Santiago,Não se pronunciou,PTB,dep.wilsonsantiago@camara.leg.br,3215-5534,null
PE,Carlos Veras,A favor do impeachment,PT,dep.carlosveras@camara.leg.br,3215-5466,https://twitter.com/carlosveraspt/status/1338480339367366661
PE,Danilo Cabral,A favor do impeachment,PSB,dep.danilocabral@camara.leg.br,3215-5423,https://apublica.org/impeachment-bolsonaro/wp-content/uploads/sites/38/2020/05/pedido0025.pdf
PE,Gonzaga Patriota,A favor do impeachment,PSB,dep.gonzagapatriota@camara.leg.br,3215-5430,https://apublica.org/impeachment-bolsonaro/wp-content/uploads/sites/38/2020/05/pedido0025.pdf
PE,Marília Arraes,A favor do impeachment,PT,dep.mariliaarraes@camara.leg.br,3215-5654,https://www.instagram.com/mariliaarraes/
PE,Milton Coelho,A favor do impeachment,PSB,dep.miltoncoelho@camara.leg.br,3215-5282,https://twitter.com/MiltonCoelho7/status/1261843830262894594
PE,Renildo Calheiros,A favor do impeachment,PCdoB,dep.renildocalheiros@camara.leg.br,3215-5915,https://twitter.com/renildo/status/1351857636698972161
PE,Tadeu Alencar,A favor do impeachment,PSB,dep.tadeualencar@camara.leg.br,3215-5820,https://twitter.com/TadeuAlencarPE/status/1262858947578548225
PE,Túlio Gadêlha,A favor do impeachment,PDT,dep.tuliogadelha@camara.leg.br,3215-5360,https://www.instagram.com/p/CKEh3uwHPzq/?igshid=1w1iv5tyl7qgo
PE,Wolney Queiroz,A favor do impeachment,PDT,dep.wolneyqueiroz@camara.leg.br,3215-5936,https://noticias.uol.com.br/politica/ultimas-noticias/2021/01/15/oposicao-apresentara-pedido-de-impeachment-contra-bolsonaro-por-caos-no-am.htm
PE,Felipe Carreras,Contra o impeachment,PSB,dep.felipecarreras@camara.leg.br,3215-5318,https://twitter.com/felipecarreras/status/1350982590866587649
PE,André de Paula,Não se pronunciou,PSD,dep.andredepaula@camara.leg.br,3215-5754,null
PE,André Ferreira,Não se pronunciou,PSC,dep.andreferreira@camara.leg.br,3215-5450,null
PE,Augusto Coutinho,Não se pronunciou,SOLIDARIEDADE,dep.augustocoutinho@camara.leg.br,3215-5314,null
PE,Daniel Coelho,Não se pronunciou,CIDADANIA,dep.danielcoelho@camara.leg.br,3215-5813,null
PE,Eduardo da Fonte,Não se pronunciou,PP,dep.eduardodafonte@camara.leg.br,3215-5628,null
PE,Fernando Coelho Filho,Não se pronunciou,DEM,dep.fernandocoelhofilho@camara.leg.br,3215-5662,null
PE,Fernando Monteiro,Não se pronunciou,PP,dep.fernandomonteiro@camara.leg.br,3215-5243,null
PE,Fernando Rodolfo,Não se pronunciou,PL,dep.fernandorodolfo@camara.leg.br,3215-5554,null
PE,Luciano Bivar,Não se pronunciou,PSL,dep.lucianobivar@camara.leg.br,3215-5215,null
PE,Ossesio Silva,Não se pronunciou,REPUBLICANOS,dep.ossesiosilva@camara.leg.br,3215-5328,null
PE,Pastor Eurico,Não se pronunciou,PATRIOTA,dep.pastoreurico@camara.leg.br,3215-5906,null
PE,Raul Henry,Não se pronunciou,MDB,dep.raulhenry@camara.leg.br,3215-5707,null
PE,Ricardo Teobaldo,Não se pronunciou,PODE,dep.ricardoteobaldo@camara.leg.br,3215-5603,null
PE,Sebastião Oliveira,Não se pronunciou,AVANTE,dep.sebastiaooliveira@camara.leg.br,3215-5225,null
PE,Silvio Costa Filho,Não se pronunciou,REPUBLICANOS,dep.silviocostafilho@camara.leg.br,3215-5402,null
PI,Merlong Solano,A favor do impeachment,PT,dep.merlongsolano@camara.leg.br,3215-5909,https://twitter.com/merlongsolano/status/1350779632853909506?s=21
PI,Rejane Dias,A favor do impeachment,PT,dep.rejanedias@camara.leg.br,3215-5624,https://apublica.org/impeachment-bolsonaro/wp-content/uploads/sites/38/2020/05/pedido-0029-ocultado.pdf
PI,Átila Lira,Não se pronunciou,PP,dep.atilalira@camara.leg.br,3215-5640,null
PI,Capitão Fábio Abreu,Não se pronunciou,PL,dep.capitaofabioabreu@camara.leg.br,3215-5202,null
PI,Flávio Nogueira,Não se pronunciou,PDT,dep.flavionogueira@camara.leg.br,3215-5811,null
PI,Iracema Portella,Não se pronunciou,PP,dep.iracemaportella@camara.leg.br,3215-5924,null
PI,Júlio Cesar,Não se pronunciou,PSD,dep.juliocesar@camara.leg.br,3215-5944,null
PI,Marcos Aurélio Sampaio,Não se pronunciou,MDB,dep.marcosaureliosampaio@camara.leg.br,3215-5565,null
PI,Margarete Coelho,Não se pronunciou,PP,dep.margaretecoelho@camara.leg.br,3215-5210,null
PI,Marina Santos,Não se pronunciou,SOLIDARIEDADE,dep.marinasantos@camara.leg.br,3215-5434,null
PR,Aliel Machado,A favor do impeachment,PSB,dep.alielmachado@camara.leg.br,3215-5220,https://apublica.org/impeachment-bolsonaro/wp-content/uploads/sites/38/2020/05/pedido0025.pdf
PR,Enio Verri,A favor do impeachment,PT,dep.enioverri@camara.leg.br,3215-5627,https://twitter.com/enioverri/status/1350093337294995458
PR,Gleisi Hoffmann,A favor do impeachment,PT,dep.gleisihoffmann@camara.leg.br,3215-5232,https://twitter.com/gleisi/status/1339983505296646147
PR,Gustavo Fruet,A favor do impeachment,PDT,dep.gustavofruet@camara.leg.br,3215-5827,https://twitter.com/gustavofruet/status/1350235661824126981?s=21
PR,Luciano Ducci,A favor do impeachment,PSB,dep.lucianoducci@camara.leg.br,3215-5427,https://apublica.org/impeachment-bolsonaro/wp-content/uploads/sites/38/2020/05/pedido0025.pdf
PR,Zeca Dirceu,A favor do impeachment,PT,dep.zecadirceu@camara.leg.br,3215-5613,https://twitter.com/zeca_dirceu/status/1337448220839047169
PR,Aline Sleutjes,Contra o impeachment,PSL,dep.alinesleutjes@camara.leg.br,3215-5550,https://twitter.com/AlineSleutjes/status/1350419139966476288
PR,Aroldo Martins,Contra o impeachment,REPUBLICANOS,dep.aroldomartins@camara.leg.br,3215-5437,https://twitter.com/aroldomartins/status/1351167138619412487
PR,Boca Aberta,Contra o impeachment,PROS,dep.bocaaberta@camara.leg.br,3215-5384,https://drive.google.com/file/d/1POFbZa8YTc6uMzYp6QkHm1l9RQqDalgG/view?usp=sharing
PR,Diego Garcia,Contra o impeachment,PODE,dep.diegogarcia@camara.leg.br,3215-5910,https://www.instagram.com/p/CKAKHWml8CH/c/18139290487135676/r/17923723861502153/
PR,Filipe Barros,Contra o impeachment,PSL,dep.filipebarros@camara.leg.br,3215-5745,https://twitter.com/filipebarrost/status/1232502525649149952
PR,Paulo Eduardo Martins,Contra o impeachment,PSC,dep.pauloeduardomartins@camara.leg.br,3215-5233,https://twitter.com/PauloMartins10/status/1254810107852001281
PR,Pedro Lupion,Contra o impeachment,DEM,dep.pedrolupion@camara.leg.br,3215-5812,https://twitter.com/pedro_lupion/status/1326951791855013888
PR,Reinhold Stephanes Junior,Contra o impeachment,PSD,dep.reinholdstephanesjunior@camara.leg.br,3215-5221,https://twitter.com/StephanesJr/status/1350990508663984130
PR,Ricardo Barros,Contra o impeachment,PP,dep.ricardobarros@camara.leg.br,3215-5412,https://www.oantagonista.com/brasil/ricardo-barros-nao-e-nao/
PR,Sargento Fahur,Contra o impeachment,PSD,dep.sargentofahur@camara.leg.br,3215-5858,https://twitter.com/SargentoFAHUR/status/1345440368502960129
PR,Christiane de Souza Yared,Não se pronunciou,PL,dep.christianedesouzayared@camara.leg.br,3215-5201,null
PR,Felipe Francischini,Não se pronunciou,PSL,dep.felipefrancischini@camara.leg.br,3215-5265,null
PR,Giacobo,Não se pronunciou,PL,dep.giacobo@camara.leg.br,3215-5762,null
PR,Hermes Parcianello,Não se pronunciou,MDB,dep.hermesparcianello@camara.leg.br,3215-5234,null
PR,Leandre,Não se pronunciou,PV,dep.leandre@camara.leg.br,3215-5454,null
PR,Luisa Canziani,Não se pronunciou,PTB,dep.luisacanziani@camara.leg.br,3215-5842,null
PR,Luiz Nishimori,Não se pronunciou,PL,dep.luiznishimori@camara.leg.br,3215-5907,null
PR,Luizão Goulart,Não se pronunciou,REPUBLICANOS,dep.luizaogoulart@camara.leg.br,3215-5218,null
PR,Roman,Não se pronunciou,PATRIOTA,dep.roman@camara.leg.br,3215-5575,null
PR,Rubens Bueno,Não se pronunciou,CIDADANIA,dep.rubensbueno@camara.leg.br,3215-5916,null
PR,Schiavinato,Não se pronunciou,PP,dep.schiavinato@camara.leg.br,3215-5746,null
PR,Sergio Souza,Não se pronunciou,MDB,dep.sergiosouza@camara.leg.br,3215-5702,null
PR,Toninho Wandscheer,Não se pronunciou,PROS,dep.toninhowandscheer@camara.leg.br,3215-5902,null
PR,Vermelho,Não se pronunciou,PSD,dep.vermelho@camara.leg.br,3215-5920,null
RJ,Alessandro Molon,A favor do impeachment,PSB,dep.alessandromolon@camara.leg.br,3215-5304,https://twitter.com/alessandromolon/status/1297943205745500163
RJ,Benedita da Silva,A favor do impeachment,PT,dep.beneditadasilva@camara.leg.br,3215-5330,https://twitter.com/dasilvabenedita/status/1293618780447399943
RJ,Chico D'Angelo,A favor do impeachment,PDT,dep.chicodangelo@camara.leg.br,3215-5542,https://twitter.com/chico_dangelo/status/1319621236574588929
RJ,David Miranda,A favor do impeachment,PSOL,dep.davidmiranda@camara.leg.br,3215-5267,https://twitter.com/davidmirandario/status/1339196440854343680
RJ,Glauber Braga,A favor do impeachment,PSOL,dep.glauberbraga@camara.leg.br,3215-5362,https://twitter.com/Glauber_Braga/status/1348029399472484361
RJ,Jandira Feghali,A favor do impeachment,PCdoB,dep.jandirafeghali@camara.leg.br,3215-5622,https://twitter.com/jandira_feghali/status/1345062696627167239
RJ,Marcelo Freixo,A favor do impeachment,PSOL,dep.marcelofreixo@camara.leg.br,3215-5725,https://twitter.com/MarceloFreixo/status/1350092173564403727
RJ,Paulo Ramos,A favor do impeachment,PDT,dep.pauloramos@camara.leg.br,3215-5804,https://twitter.com/deppauloramosrj/status/1350031953735667713
RJ,Talíria Petrone,A favor do impeachment,PSOL,dep.taliriapetrone@camara.leg.br,3215-5617,https://twitter.com/taliriapetrone/status/1349401708468854784
RJ,Carlos Jordy,Contra o impeachment,PSL,dep.carlosjordy@camara.leg.br,3215-5383,https://twitter.com/carlosjordy/status/1255903280930095105
RJ,Daniel Silveira,Contra o impeachment,PSL,dep.danielsilveira@camara.leg.br,3215-5403,https://twitter.com/danielPMERJ/status/1254848263456468993
RJ,Felício Laterça,Contra o impeachment,PSL,dep.feliciolaterca@camara.leg.br,3215-5275,https://twitter.com/FederalFelicio/status/1352695831653179392
RJ,Gurgel,Contra o impeachment,PSL,dep.gurgel@camara.leg.br,3215-5937,https://drive.google.com/file/d/19nDFh9Vnj1XNHrHuy680FAowiGAJTQGT/view?usp=sharing
RJ,Helio Lopes,Contra o impeachment,PSL,dep.heliolopes@camara.leg.br,3215-5405,https://twitter.com/depheliolopes/status/1274349004269277186
RJ,Hugo Leal,Contra o impeachment,PSD,dep.hugoleal@camara.leg.br,3215-5631,https://www.oantagonista.com/brasil/hugo-leal-ja-vi-coisas-piores-em-outros-governos/
RJ,Luiz Lima,Contra o impeachment,PSL,dep.luizlima@camara.leg.br,3215-5504,https://twitter.com/Oficialluizlima/status/1252043913080250368
RJ,Major Fabiana,Contra o impeachment,PSL,dep.majorfabiana@camara.leg.br,3215-5509,https://twitter.com/majorfabianadep/status/1234435977688559617
RJ,Márcio Labre,Contra o impeachment,PSL,dep.marciolabre@camara.leg.br,3215-5325,https://twitter.com/marciolabre/status/1130511968211804160
RJ,Otoni de Paula,Contra o impeachment,PSC,dep.otonidepaula@camara.leg.br,3215-5484,https://twitter.com/OtoniDepFederal/status/1351554834906886152
RJ,Professor Joziel,Contra o impeachment,PSL,dep.professorjoziel@camara.leg.br,3215-5929,https://drive.google.com/file/d/1ZfqS4h7vUZbieTyHJL5I2wp-zMlOqYH-/view?usp=sharing
RJ,Sóstenes Cavalcante,Contra o impeachment,DEM,dep.sostenescavalcante@camara.leg.br,3215-5560,https://twitter.com/depsostenes/status/1349857568626237441?s=21
RJ,Altineu Côrtes,Não se pronunciou,PL,dep.altineucortes@camara.leg.br,3215-5336,null
RJ,Aureo Ribeiro,Não se pronunciou,SOLIDARIEDADE,dep.aureoribeiro@camara.leg.br,3215-5212,null
RJ,Chiquinho Brazão,Não se pronunciou,AVANTE,dep.chiquinhobrazao@camara.leg.br,3215-5507,null
RJ,Chris Tonietto,Não se pronunciou,PSL,dep.christonietto@camara.leg.br,3215-5446,null
RJ,Christino Aureo,Não se pronunciou,PP,dep.christinoaureo@camara.leg.br,3215-5227,null
RJ,Clarissa Garotinho,Não se pronunciou,PROS,dep.clarissagarotinho@camara.leg.br,3215-5714,null
RJ,Daniela do Waguinho,Não se pronunciou,MDB,dep.danieladowaguinho@camara.leg.br,3215-5950,null
RJ,Delegado Antônio Furtado,Não se pronunciou,PSL,dep.delegadoantoniofurtado@camara.leg.br,3215-5602,null
RJ,Dr. Luiz Antonio Teixeira Jr.,Não se pronunciou,PP,dep.dr.luizantonioteixeirajr@camara.leg.br,3215-5577,null
RJ,Flordelis,Não se pronunciou,PSD,dep.flordelis@camara.leg.br,3215-5612,null
RJ,Gelson Azevedo,Não se pronunciou,PL,dep.gelsonazevedo@camara.leg.br,3215-5369,null
RJ,Gutemberg Reis,Não se pronunciou,MDB,dep.gutembergreis@camara.leg.br,3215-5856,null
RJ,Jorge Braz,Não se pronunciou,REPUBLICANOS,dep.jorgebraz@camara.leg.br,3215-5213,null
RJ,Juninho do Pneu,Não se pronunciou,DEM,dep.juninhodopneu@camara.leg.br,3215-5641,null
RJ,Lourival Gomes,Não se pronunciou,PSL,dep.lourivalgomes@camara.leg.br,3215-5636,null
RJ,Luiz Antônio Corrêa,Não se pronunciou,PL,dep.luizantoniocorrea@camara.leg.br,3215-5610,null
RJ,Marcos Soares,Não se pronunciou,DEM,dep.marcossoares@camara.leg.br,3215-5727,null
RJ,Otavio Leite,Não se pronunciou,PSDB,dep.otavioleite@camara.leg.br,3215-5939,null
RJ,Paulo Ganime,Não se pronunciou,NOVO,dep.pauloganime@camara.leg.br,3215-5230,null
RJ,Pedro Augusto,Não se pronunciou,PSD,dep.pedroaugusto@camara.leg.br,3215-5284,null
RJ,Ricardo da Karol,Não se pronunciou,PSC,dep.ricardodakarol@camara.leg.br,3215-5274,null
RJ,Rodrigo Maia,Não se pronunciou,DEM,dep.rodrigomaia@camara.leg.br,3215-5975,null
RJ,Rosangela Gomes,Não se pronunciou,REPUBLICANOS,dep.rosangelagomes@camara.leg.br,3215-5438,null
RJ,Soraya Santos,Não se pronunciou,PL,dep.sorayasantos@camara.leg.br,3215-5324,null
RJ,Vinicius Farah,Não se pronunciou,MDB,dep.viniciusfarah@camara.leg.br,3215-5429,null
RN,Natália Bonavides,A favor do impeachment,PT,dep.nataliabonavides@camara.leg.br,3215-5748,https://twitter.com/natbonavides/status/1346976897973022723
RN,Rafael Motta,A favor do impeachment,PSB,dep.rafaelmotta@camara.leg.br,3215-5626,https://twitter.com/RafaelMottaRN/status/1262764151040028672
RN,General Girão,Contra o impeachment,PSL,dep.generalgirao@camara.leg.br,3215-5914,https://twitter.com/GeneralGirao/status/1348080819554942977
RN,Benes Leocádio,Não se pronunciou,REPUBLICANOS,dep.benesleocadio@camara.leg.br,3215-5417,null
RN,Beto Rosado,Não se pronunciou,PP,dep.betorosado@camara.leg.br,3215-5840,null
RN,Carla Dickson,Não se pronunciou,PROS,dep.carladickson@camara.leg.br,3215-5706,null
RN,João Maia,Não se pronunciou,PL,dep.joaomaia@camara.leg.br,3215-5439,null
RN,Walter Alves,Não se pronunciou,MDB,dep.walteralves@camara.leg.br,3215-5435,null
RO,Coronel Chrisóstomo,Contra o impeachment,PSL,dep.coronelchrisostomo@camara.leg.br,3215-5458,https://twitter.com/drluizovando/status/1347295978097930241
RO,Expedito Netto,Não se pronunciou,PSD,dep.expeditonetto@camara.leg.br,3215-5943,null
RO,Jaqueline Cassol,Não se pronunciou,PP,dep.jaquelinecassol@camara.leg.br,3215-5242,null
RO,Léo Moraes,Não se pronunciou,PODE,dep.leomoraes@camara.leg.br,3215-5503,null
RO,Lucio Mosquini,Não se pronunciou,MDB,dep.luciomosquini@camara.leg.br,3215-5918,null
RO,Mariana Carvalho,Não se pronunciou,PSDB,dep.marianacarvalho@camara.leg.br,3215-5508,null
RO,Mauro Nazif,Não se pronunciou,PSB,dep.mauronazif@camara.leg.br,3215-5818,null
RO,Silvia Cristina,Não se pronunciou,PDT,dep.silviacristina@camara.leg.br,3215-5524,null
RR,Joenia Wapichana,A favor do impeachment,REDE,dep.joeniawapichana@camara.leg.br,3215-5231,https://noticias.uol.com.br/politica/ultimas-noticias/2021/01/15/oposicao-apresentara-pedido-de-impeachment-contra-bolsonaro-por-caos-no-am.htm
RR,Edio Lopes,Não se pronunciou,PL,dep.ediolopes@camara.leg.br,3215-5408,null
RR,Haroldo Cathedral,Não se pronunciou,PSD,dep.haroldocathedral@camara.leg.br,3215-5280,null
RR,Hiran Gonçalves,Não se pronunciou,PP,dep.hirangoncalves@camara.leg.br,3215-5478,null
RR,Jhonatan de Jesus,Não se pronunciou,REPUBLICANOS,dep.jhonatandejesus@camara.leg.br,3215-5535,null
RR,Nicoletti,Não se pronunciou,PSL,dep.nicoletti@camara.leg.br,3215-5287,null
RR,Ottaci Nascimento,Não se pronunciou,SOLIDARIEDADE,dep.ottacinascimento@camara.leg.br,3215-5521,null
RR,Shéridan,Não se pronunciou,PSDB,dep.sheridan@camara.leg.br,3215-5246,null
RS,Afonso Motta,A favor do impeachment,PDT,dep.afonsomotta@camara.leg.br,3215-5528,https://www.facebook.com/AfonsoMottaOpina/posts/3037367033010103
RS,Bohn Gass,A favor do impeachment,PT,dep.bohngass@camara.leg.br,3215-5469,https://twitter.com/BohnGass/status/1350138159796006917
RS,Fernanda Melchionna,A favor do impeachment,PSOL,dep.fernandamelchionna@camara.leg.br,3215-5621,https://twitter.com/fernandapsol/status/1350128997045329922
RS,Henrique Fontana,A favor do impeachment,PT,dep.henriquefontana@camara.leg.br,3215-5256,https://twitter.com/HenriqueFontana/status/1350066280380903424
RS,Marcon,A favor do impeachment,PT,dep.marcon@camara.leg.br,3215-5569,https://twitter.com/depmarcon/status/1350106375305764869
RS,Maria do Rosário,A favor do impeachment,PT,dep.mariadorosario@camara.leg.br,3215-5312,https://twitter.com/mariadorosario/status/1349864000432070659
RS,Paulo Pimenta,A favor do impeachment,PT,dep.paulopimenta@camara.leg.br,3215-5552,https://twitter.com/DeputadoFederal/status/1350089582214320131
RS,Pompeo de Mattos,A favor do impeachment,PDT,dep.pompeodemattos@camara.leg.br,3215-5704,https://twitter.com/PompeodeMattos/status/1262843494428823552
RS,Bibo Nunes,Contra o impeachment,PSL,dep.bibonunes@camara.leg.br,3215-5518,https://twitter.com/bibonunes1/status/1263452157195493376
RS,Jerônimo Goergen,Contra o impeachment,PP,dep.jeronimogoergen@camara.leg.br,3215-5316,https://drive.google.com/file/d/1bqcgofMAlQ0xyLPS4vad8dFHckRnDlN3/view?usp=sharing
RS,Liziane Bayer,Contra o impeachment,PSB,dep.lizianebayer@camara.leg.br,3215-5538,https://drive.google.com/file/d/1gXk-2Ulsegt19HGzJpjuJa6ghyGoiOqi/view?usp=sharing
RS,Sanderson,Contra o impeachment,PSL,dep.sanderson@camara.leg.br,3215-5354,https://twitter.com/DepSanderson/status/1289399888829198336
RS,Afonso Hamm,Não se pronunciou,PP,dep.afonsohamm@camara.leg.br,3215-5604,null
RS,Alceu Moreira,Não se pronunciou,MDB,dep.alceumoreira@camara.leg.br,3215-5238,null
RS,Carlos Gomes,Não se pronunciou,REPUBLICANOS,dep.carlosgomes@camara.leg.br,3215-5285,null
RS,Daniel Trzeciak,Não se pronunciou,PSDB,dep.danieltrzeciak@camara.leg.br,3215-5917,https://twitter.com/TrzeciakDaniel/status/1353024508194652160
RS,Danrlei de Deus Hinterholz,Não se pronunciou,PSD,dep.danrleidedeushinterholz@camara.leg.br,3215-5566,null
RS,Giovani Cherini,Não se pronunciou,PL,dep.giovanicherini@camara.leg.br,3215-5468,null
RS,Giovani Feltes,Não se pronunciou,MDB,dep.giovanifeltes@camara.leg.br,3215-5376,null
RS,Heitor Schuch,Não se pronunciou,PSB,dep.heitorschuch@camara.leg.br,3215-5277,null
RS,Lucas Redecker,Não se pronunciou,PSDB,dep.lucasredecker@camara.leg.br,3215-5905,null
RS,Marcel van Hattem,Não se pronunciou,NOVO,dep.marcelvanhattem@camara.leg.br,3215-5958,null
RS,Marcelo Brum,Não se pronunciou,PSL,dep.marcelobrum@camara.leg.br,3215-5828,null
RS,Marcelo Moraes,Não se pronunciou,PTB,dep.marcelomoraes@camara.leg.br,3215-5258,null
RS,Márcio Biolchi,Não se pronunciou,MDB,dep.marciobiolchi@camara.leg.br,3215-5843,null
RS,Marlon Santos,Não se pronunciou,PDT,dep.marlonsantos@camara.leg.br,3215-5760,null
RS,Maurício Dziedricki,Não se pronunciou,PTB,dep.mauriciodziedricki@camara.leg.br,3215-5576,null
RS,Nereu Crispim,Não se pronunciou,PSL,dep.nereucrispim@camara.leg.br,3215-5483,null
RS,Osmar Terra,Não se pronunciou,MDB,dep.osmarterra@camara.leg.br,3215-5927,null
RS,Pedro Westphalen,Não se pronunciou,PP,dep.pedrowestphalen@camara.leg.br,3215-5526,null
RS,Santini,Não se pronunciou,PTB,dep.santini@camara.leg.br,3215-5228,null
SC,Pedro Uczai,A favor do impeachment,PT,dep.pedrouczai@camara.leg.br,3215-5229,https://twitter.com/uczai/status/1350489288677404676
SC,Coronel Armando,Contra o impeachment,PSL,dep.coronelarmando@camara.leg.br,3215-5268,https://twitter.com/cel_armando/status/1351228629007687683
SC,Rodrigo Coelho,Contra o impeachment,PSB,dep.rodrigocoelho@camara.leg.br,3215-5329,https://twitter.com/coelho_rodrigo/status/1350420248164495362
SC,Angela Amin,Não se pronunciou,PP,dep.angelaamin@camara.leg.br,3215-5252,null
SC,Carlos Chiodini,Não se pronunciou,MDB,dep.carloschiodini@camara.leg.br,3215-5925,null
SC,Carmen Zanotto,Não se pronunciou,CIDADANIA,dep.carmenzanotto@camara.leg.br,3215-5418,null
SC,Caroline de Toni,Não se pronunciou,PSL,dep.carolinedetoni@camara.leg.br,3215-5476,null
SC,Celso Maldaner,Não se pronunciou,MDB,dep.celsomaldaner@camara.leg.br,3215-5311,null
SC,Daniel Freitas,Não se pronunciou,PSL,dep.danielfreitas@camara.leg.br,3215-5273,null
SC,Darci de Matos,Não se pronunciou,PSD,dep.darcidematos@camara.leg.br,3215-5709,null
SC,Fabio Schiochet,Não se pronunciou,PSL,dep.fabioschiochet@camara.leg.br,3215-5758,null
SC,Geovania de Sá,Não se pronunciou,PSDB,dep.geovaniadesa@camara.leg.br,3215-5606,null
SC,Gilson Marques,Não se pronunciou,NOVO,dep.gilsonmarques@camara.leg.br,3215-5431,https://drive.google.com/file/d/1zXYAfaET02Gu7xTd6cPuxb3vmvplwvy-/view?usp=sharing
SC,Hélio Costa,Não se pronunciou,REPUBLICANOS,dep.heliocosta@camara.leg.br,3215-5609,null
SC,Jorge Goetten,Não se pronunciou,PL,dep.jorgegoetten@camara.leg.br,3215-5656,null
SC,Ricardo Guidi,Não se pronunciou,PSD,dep.ricardoguidi@camara.leg.br,3215-5407,null
SE,João Daniel,A favor do impeachment,PT,dep.joaodaniel@camara.leg.br,3215-5605,https://twitter.com/depjoaodanielpt/status/1349487186366910464
SE,Laercio Oliveira,Contra o impeachment,PP,dep.laerciooliveira@camara.leg.br,3215-5629,https://drive.google.com/file/d/1FnuyIaxZ6LYZFE6sB3-e5B_ZR5z_oNuk/view?usp=sharing
SE,Bosco Costa,Não se pronunciou,PL,dep.boscocosta@camara.leg.br,3215-5742,null
SE,Fábio Henrique,Não se pronunciou,PDT,dep.fabiohenrique@camara.leg.br,3215-5475,null
SE,Fábio Mitidieri,Não se pronunciou,PSD,dep.fabiomitidieri@camara.leg.br,3215-5278,null
SE,Fabio Reis,Não se pronunciou,MDB,dep.fabioreis@camara.leg.br,3215-5410,null
SE,Gustinho Ribeiro,Não se pronunciou,SOLIDARIEDADE,dep.gustinhoribeiro@camara.leg.br,3215-5379,null
SE,Valdevan Noventa,Não se pronunciou,PL,dep.valdevannoventa@camara.leg.br,3215-5637,null
SP,Alencar Santana Braga,A favor do impeachment,PT,dep.alencarsantanabraga@camara.leg.br,3215-5239,https://twitter.com/AlencarBraga13/status/1350094514678067200
SP,Alexandre Frota,A favor do impeachment,PSDB,dep.alexandrefrota@camara.leg.br,3215-5216,https://twitter.com/77_frota/status/1349978906867212289
SP,Alexandre Padilha,A favor do impeachment,PT,dep.alexandrepadilha@camara.leg.br,3215-5956,https://twitter.com/padilhando/status/1324422654816854016
